candidate_id,assigned_bus_index,assigned_bus_name,installation_code,installation_name,dispatch_proxy_class,cost_class,pmax_mw_proxy,pmin_mw_proxy,marginal_cost_eur_per_mwh,must_run,curtailable,cost_status,publication_allowed,notes
GENCAND_capacidade-rececao-rnd_1106S5099600_potencia_de_ligacao_ligado_mva_rari,419.0,1106S5099600_60,1106S5099600,NORTE,dispatchable_proxy,urban_injection_proxy,1.23504,0.0,110.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.
GENCAND_capacidade-rececao-rnd_1106S5815000_potencia_de_ligacao_ligado_mva_rari,449.0,1106S5815000_60,1106S5815000,ALTO DO LUMIAR,dispatchable_proxy,urban_injection_proxy,0.8029200000000001,0.0,110.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.
GENCAND_capacidade-rececao-rnd_1107P5728100_potencia_de_ligacao_ligado_mva_rari,458.0,1107P5728100_60,1107P5728100,FANHÕES (PS),import_interface_proxy,import_interface,63.0,0.0,95.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic import/interface penalty cost.
GENCAND_capacidade-rececao-rnd_1116S5903800_potencia_de_ligacao_ligado_mva_rari,544.0,1116S5903800_60,1116S5903800,CANEÇAS,dispatchable_proxy,urban_injection_proxy,0.16,0.0,110.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.
GENCAND_capacidade-rececao-rnd_1109S5902500_potencia_de_ligacao_ligado_mva_rari,478.0,1109S5902500_60,1109S5902500,VENDA DO PINHEIRO,dispatchable_proxy,generic_dispatch_proxy,9.19772,0.0,85.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic generic dispatch proxy cost for connected capacity row.
GENCAND_capacidade-rececao-rnd_1106S5800000_potencia_de_ligacao_ligado_mva_rari,445.0,1106S5800000_60,1106S5800000,EXPO SUL,dispatchable_proxy,urban_injection_proxy,1.2227,0.0,110.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.
GENCAND_capacidade-rececao-rnd_1106S5716600_potencia_de_ligacao_ligado_mva_rari,441.0,1106S5716600_60,1106S5716600,ARCO CARVALHÃO,dispatchable_proxy,generic_dispatch_proxy,0.54731,0.0,85.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic generic dispatch proxy cost for connected capacity row.
GENCAND_capacidade-rececao-rnd_1106S5244000_potencia_de_ligacao_ligado_mva_rari,431.0,1106S5244000_60,1106S5244000,PARQUE,dispatchable_proxy,urban_injection_proxy,0.08016,0.0,110.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.
GENCAND_capacidade-rececao-rnd_1109S5905600_potencia_de_ligacao_ligado_mva_rari,480.0,1109S5905600_60,1109S5905600,GRADIL,dispatchable_proxy,generic_dispatch_proxy,8.08829,0.0,85.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic generic dispatch proxy cost for connected capacity row.
GENCAND_capacidade-rececao-rnd_1109S5430000_potencia_de_ligacao_ligado_mva_rari,474.0,1109S5430000_60,1109S5430000,MAFRA,dispatchable_proxy,generic_dispatch_proxy,22.709070000000004,0.0,85.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic generic dispatch proxy cost for connected capacity row.
GENCAND_capacidade-rececao-rnd_1106S5025800_potencia_de_ligacao_ligado_mva_rari,411.0,1106S5025800_60,1106S5025800,CENTRAL TEJO,dispatchable_proxy,thermal_proxy,3.2529400000000006,0.0,75.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic thermal proxy cost for a station explicitly labeled CENTRAL/TEJO.
GENCAND_capacidade-rececao-rnd_1106S5907000_potencia_de_ligacao_ligado_mva_rari,455.0,1106S5907000_60,1106S5907000,BOAVISTA (NOVA),dispatchable_proxy,urban_injection_proxy,0.80591,0.0,110.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.
GENCAND_capacidade-rececao-rnd_1106S5478000_potencia_de_ligacao_ligado_mva_rari,439.0,1106S5478000_60,1106S5478000,AMOREIRAS,dispatchable_proxy,generic_dispatch_proxy,0.40745,0.0,85.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic generic dispatch proxy cost for connected capacity row.
GENCAND_capacidade-rececao-rnd_1106S5200200_potencia_de_ligacao_ligado_mva_rari,425.0,1106S5200200_60,1106S5200200,PRAÇA FIGUEIRA,dispatchable_proxy,generic_dispatch_proxy,0.19942,0.0,85.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic generic dispatch proxy cost for connected capacity row.
GENCAND_capacidade-rececao-rnd_1106S5200300_potencia_de_ligacao_ligado_mva_rari,427.0,1106S5200300_60,1106S5200300,ALAMEDA,dispatchable_proxy,generic_dispatch_proxy,0.18191,0.0,85.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic generic dispatch proxy cost for connected capacity row.
GENCAND_capacidade-rececao-rnd_1109S5727400_potencia_de_ligacao_ligado_mva_rari,476.0,1109S5727400_60,1109S5727400,TELHEIRO,dispatchable_proxy,generic_dispatch_proxy,13.41181,0.0,85.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic generic dispatch proxy cost for connected capacity row.
GENCAND_capacidade-rececao-rnd_1106S5072500_potencia_de_ligacao_ligado_mva_rari,417.0,1106S5072500_60,1106S5072500,SENHOR ROUBADO,dispatchable_proxy,generic_dispatch_proxy,1.1334000000000002,0.0,85.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic generic dispatch proxy cost for connected capacity row.
GENCAND_capacidade-rececao-rnd_1116S5340000_potencia_de_ligacao_ligado_mva_rari,542.0,1116S5340000_60,1116S5340000,ARROJA,dispatchable_proxy,generic_dispatch_proxy,2.4919799999999985,0.0,85.0,False,True,DIAGNOSTIC_COST_ASSUMED,False,Diagnostic generic dispatch proxy cost for connected capacity row.
