generator_id,bus_id,assigned_bus_name,installation_code,installation_name,generation_type,dispatch_proxy_class,cost_class,pmax_mw_proxy,pmin_mw_proxy,marginal_cost_eur_per_mwh,must_run,curtailable,benchmark_usable,publication_allowed,notes,bus_voltage_kv,bus_zone,max_dispatch_mw,max_dispatch_share_of_total_gen,top_dispatch_appearance_count,is_dispatchable_proxy,is_import_interface_proxy
GENCAND_capacidade-rececao-rnd_1106S5099600_potencia_de_ligacao_ligado_mva_rari,419,1106S5099600_60,1106S5099600,NORTE,grid_connection_capacity_proxy,dispatchable_proxy,urban_injection_proxy,1.23504,0.0,110.0,False,True,True,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.,60.0,Grande Lisboa,2.169308356881616e-09,2.7816602662290084e-11,0,True,False
GENCAND_capacidade-rececao-rnd_1106S5815000_potencia_de_ligacao_ligado_mva_rari,449,1106S5815000_60,1106S5815000,ALTO DO LUMIAR,grid_connection_capacity_proxy,dispatchable_proxy,urban_injection_proxy,0.8029200000000001,0.0,110.0,False,True,True,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.,60.0,Grande Lisboa,2.169308536407987e-09,2.7816604964320465e-11,0,True,False
GENCAND_capacidade-rececao-rnd_1107P5728100_potencia_de_ligacao_ligado_mva_rari,458,1107P5728100_60,1107P5728100,FANHÕES (PS),grid_connection_capacity_proxy,import_interface_proxy,import_interface,63.0,0.0,95.0,False,True,True,False,Diagnostic import/interface penalty cost.,60.0,Grande Lisboa,55.357850005220286,0.4732283488572115,5,False,True
GENCAND_capacidade-rececao-rnd_1116S5903800_potencia_de_ligacao_ligado_mva_rari,544,1116S5903800_60,1116S5903800,CANEÇAS,grid_connection_capacity_proxy,dispatchable_proxy,urban_injection_proxy,0.16,0.0,110.0,False,True,True,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.,60.0,Grande Lisboa,2.169310598184866e-09,2.7816631402068712e-11,0,True,False
GENCAND_capacidade-rececao-rnd_1109S5902500_potencia_de_ligacao_ligado_mva_rari,478,1109S5902500_60,1109S5902500,VENDA DO PINHEIRO,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,9.19772,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.,60.0,Grande Lisboa,9.197719999777911,0.16506195779558186,0,True,False
GENCAND_capacidade-rececao-rnd_1106S5800000_potencia_de_ligacao_ligado_mva_rari,445,1106S5800000_60,1106S5800000,EXPO SUL,grid_connection_capacity_proxy,dispatchable_proxy,urban_injection_proxy,1.2227,0.0,110.0,False,True,True,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.,60.0,Grande Lisboa,2.16930836024815e-09,2.7816602705458472e-11,0,True,False
GENCAND_capacidade-rececao-rnd_1106S5716600_potencia_de_ligacao_ligado_mva_rari,441,1106S5716600_60,1106S5716600,ARCO CARVALHÃO,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,0.54731,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.,60.0,Grande Lisboa,0.5473099997779124,0.007018045481131093,0,True,False
GENCAND_capacidade-rececao-rnd_1106S5244000_potencia_de_ligacao_ligado_mva_rari,431,1106S5244000_60,1106S5244000,PARQUE,grid_connection_capacity_proxy,dispatchable_proxy,urban_injection_proxy,0.08016,0.0,110.0,False,True,True,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.,60.0,Grande Lisboa,2.169313162785442e-09,2.7816664287423618e-11,0,True,False
GENCAND_capacidade-rececao-rnd_1109S5905600_potencia_de_ligacao_ligado_mva_rari,480,1109S5905600_60,1109S5905600,GRADIL,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,8.08829,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.,60.0,Grande Lisboa,8.088289999777915,0.1449111595486297,0,True,False
GENCAND_capacidade-rececao-rnd_1109S5430000_potencia_de_ligacao_ligado_mva_rari,474,1109S5430000_60,1109S5430000,MAFRA,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,22.709070000000004,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.,60.0,Grande Lisboa,22.709069999777913,0.2965104093826785,2,True,False
GENCAND_capacidade-rececao-rnd_1106S5025800_potencia_de_ligacao_ligado_mva_rari,411,1106S5025800_60,1106S5025800,CENTRAL TEJO,grid_connection_capacity_proxy,dispatchable_proxy,thermal_proxy,3.2529400000000006,0.0,75.0,False,True,True,False,Diagnostic thermal proxy cost for a station explicitly labeled CENTRAL/TEJO.,60.0,Grande Lisboa,3.252939999938957,0.08342358443114553,0,True,False
GENCAND_capacidade-rececao-rnd_1106S5907000_potencia_de_ligacao_ligado_mva_rari,455,1106S5907000_60,1106S5907000,BOAVISTA (NOVA),grid_connection_capacity_proxy,dispatchable_proxy,urban_injection_proxy,0.80591,0.0,110.0,False,True,True,False,Diagnostic expensive urban injection proxy; high cost discourages use unless needed.,60.0,Grande Lisboa,2.169308534504179e-09,2.7816604939908313e-11,0,True,False
GENCAND_capacidade-rececao-rnd_1106S5478000_potencia_de_ligacao_ligado_mva_rari,439,1106S5478000_60,1106S5478000,AMOREIRAS,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,0.40745,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.,60.0,Grande Lisboa,0.4074499997779124,0.005224648965598185,0,True,False
GENCAND_capacidade-rececao-rnd_1106S5200200_potencia_de_ligacao_ligado_mva_rari,425,1106S5200200_60,1106S5200200,PRAÇA FIGUEIRA,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,0.19942,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.,60.0,Grande Lisboa,0.1994199992200263,0.002557122316618394,0,True,False
GENCAND_capacidade-rececao-rnd_1106S5200300_potencia_de_ligacao_ligado_mva_rari,427,1106S5200300_60,1106S5200300,ALAMEDA,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,0.18191,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.,60.0,Grande Lisboa,0.1819099992200263,0.002340845332814491,0,True,False
GENCAND_capacidade-rececao-rnd_1109S5727400_potencia_de_ligacao_ligado_mva_rari,476,1109S5727400_60,1109S5727400,TELHEIRO,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,13.41181,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.,60.0,Grande Lisboa,13.411809999777912,0.23805387352967303,0,True,False
GENCAND_capacidade-rececao-rnd_1106S5072500_potencia_de_ligacao_ligado_mva_rari,417,1106S5072500_60,1106S5072500,SENHOR ROUBADO,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,1.1334000000000002,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.,60.0,Grande Lisboa,1.1333999997779127,0.015411332281117332,0,True,False
GENCAND_capacidade-rececao-rnd_1116S5340000_potencia_de_ligacao_ligado_mva_rari,542,1116S5340000_60,1116S5340000,ARROJA,grid_connection_capacity_proxy,dispatchable_proxy,generic_dispatch_proxy,2.4919799999999985,0.0,85.0,False,True,True,False,Diagnostic generic dispatch proxy cost for connected capacity row.,60.0,Grande Lisboa,2.491979999777911,0.040350668277495096,0,True,False
