generator_id,bus_id,scenario_family,variant_id,scenario_value,dispatch_mw,dispatch_share_of_total_gen,dispatch_positive_flag,top_dispatch_flag,import_dependence_flag,dispatch_proxy_class,cost_class,source_scenario_id
GENCAND_capacidade-rececao-rnd_1106S5025800_potencia_de_ligacao_ligado_mva_rari,411,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,3.252939998902766,0.08342358443114553,True,False,False,dispatchable_proxy,thermal_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5072500_potencia_de_ligacao_ligado_mva_rari,417,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,0.6009348502042012,0.015411332281117332,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5099600_potencia_de_ligacao_ligado_mva_rari,419,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,3.7889386725107187e-10,9.716958977332757e-12,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5200200_potencia_de_ligacao_ligado_mva_rari,425,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,0.0861524048056158,0.0022094297523691736,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5200300_potencia_de_ligacao_ligado_mva_rari,427,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,0.0912766991046989,0.002340845332814491,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5244000_potencia_de_ligacao_ligado_mva_rari,431,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,3.788940812771238e-10,9.71696446615838e-12,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5478000_potencia_de_ligacao_ligado_mva_rari,439,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,0.1942184968531659,0.004980849070620859,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5716600_potencia_de_ligacao_ligado_mva_rari,441,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,0.2630428460068433,0.006745890511433511,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5800000_potencia_de_ligacao_ligado_mva_rari,445,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,3.7889386740102286e-10,9.716958981178341e-12,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5815000_potencia_de_ligacao_ligado_mva_rari,449,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,3.788938752460872e-10,9.71695918236969e-12,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5907000_potencia_de_ligacao_ligado_mva_rari,455,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,3.7889387516133544e-10,9.71695918019618e-12,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1107P5728100_potencia_de_ligacao_ligado_mva_rari,458,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,1.0972346281242984e-09,2.8139235790078916e-11,True,False,True,import_interface_proxy,import_interface,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1109S5430000_potencia_de_ligacao_ligado_mva_rari,474,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,11.561845218578847,0.2965104093826785,True,True,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1109S5727400_potencia_de_ligacao_ligado_mva_rari,476,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,9.282446593235893,0.23805387352967303,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1109S5902500_potencia_de_ligacao_ligado_mva_rari,478,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,6.436269173420789,0.16506195779558186,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1109S5905600_potencia_de_ligacao_ligado_mva_rari,480,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,5.650528089837499,0.1449111595486297,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1116S5340000_potencia_de_ligacao_ligado_mva_rari,542,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,1.5733956256777253,0.040350668277495096,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1116S5903800_potencia_de_ligacao_ligado_mva_rari,544,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.1,0.1,3.7889396706495306e-10,9.716961537119212e-12,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5025800_potencia_de_ligacao_ligado_mva_rari,411,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,3.25293999839802,0.04171179220909915,True,False,False,dispatchable_proxy,thermal_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5072500_potencia_de_ligacao_ligado_mva_rari,417,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,1.1333999966960373,0.014533359107533776,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5099600_potencia_de_ligacao_ligado_mva_rari,419,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,2.169308356881616e-09,2.7816602662290084e-11,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5200200_potencia_de_ligacao_ligado_mva_rari,425,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,0.1994199966960333,0.002557122316618394,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5200300_potencia_de_ligacao_ligado_mva_rari,427,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,0.1819099966960329,0.002332595125234283,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5244000_potencia_de_ligacao_ligado_mva_rari,431,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,2.169313162785442e-09,2.7816664287423618e-11,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5478000_potencia_de_ligacao_ligado_mva_rari,439,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,0.4074499966960357,0.005224648965598185,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5716600_potencia_de_ligacao_ligado_mva_rari,441,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,0.5473099966960363,0.007018045481131093,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5800000_potencia_de_ligacao_ligado_mva_rari,445,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,2.16930836024815e-09,2.7816602705458472e-11,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5815000_potencia_de_ligacao_ligado_mva_rari,449,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,2.169308536407987e-09,2.7816604964320465e-11,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5907000_potencia_de_ligacao_ligado_mva_rari,455,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,2.169308534504179e-09,2.7816604939908313e-11,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1107P5728100_potencia_de_ligacao_ligado_mva_rari,458,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,16.364800021625587,0.20984252349618232,True,False,True,import_interface_proxy,import_interface,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1109S5430000_potencia_de_ligacao_ligado_mva_rari,474,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,22.709069996696037,0.2911938152657472,True,True,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1109S5727400_potencia_de_ligacao_ligado_mva_rari,476,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,13.411809996696036,0.1719769291796367,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1109S5902500_potencia_de_ligacao_ligado_mva_rari,478,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,9.19771999669604,0.11794050473989674,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1109S5905600_potencia_de_ligacao_ligado_mva_rari,480,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,8.088289996696039,0.10371450805587223,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1116S5340000_potencia_de_ligacao_ligado_mva_rari,542,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,2.491979996696036,0.03195415589055026,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1116S5903800_potencia_de_ligacao_ligado_mva_rari,544,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,2.169310598184866e-09,2.7816631402068712e-11,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5025800_potencia_de_ligacao_ligado_mva_rari,411,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,3.2529399996600135,0.027807861483520786,True,False,False,dispatchable_proxy,thermal_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5072500_potencia_de_ligacao_ligado_mva_rari,417,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,1.133399999220027,0.009688906093265531,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5099600_potencia_de_ligacao_ligado_mva_rari,419,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,4.866489219033136e-10,4.160133852086561e-12,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5200200_potencia_de_ligacao_ligado_mva_rari,425,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,0.1994199992200263,0.0017047482326553536,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5200300_potencia_de_ligacao_ligado_mva_rari,427,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,0.1819099992200263,0.0015550634383992839,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5244000_potencia_de_ligacao_ligado_mva_rari,431,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,4.866492430804214e-10,4.160136597679326e-12,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5478000_potencia_de_ligacao_ligado_mva_rari,439,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,0.4074499992200264,0.0034830993319751834,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5716600_potencia_de_ligacao_ligado_mva_rari,441,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,0.5473099992200265,0.004678697008997111,True,False,False,dispatchable_proxy,generic_dispatch_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5800000_potencia_de_ligacao_ligado_mva_rari,445,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,4.866489221283546e-10,4.160133854010331e-12,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5815000_potencia_de_ligacao_ligado_mva_rari,449,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,4.866489339009972e-10,4.160133954649143e-12,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
GENCAND_capacidade-rececao-rnd_1106S5907000_potencia_de_ligacao_ligado_mva_rari,455,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,4.866489337738354e-10,4.1601339535620964e-12,True,False,False,dispatchable_proxy,urban_injection_proxy,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC
