line_id,line_name,scenario_family,variant_id,scenario_value,metric_max_loading_percent,over_80_loading_flag,over_100_loading_flag,top_congested_flag,binding_under_internal_dispatch_flag,asset_type,from_bus,to_bus,source_scenario_id,bottleneck_persistence_count
63,ATPL_00343,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.2,0.2,17.439892143947244,False,False,False,False,overhead,476,474,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
4,ATPL_00012,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,7.590734350950494,False,False,False,False,cable,453,409,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
5,ATPL_00013,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,23.375952396812288,False,False,False,False,cable,408,429,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
10,ATPL_00049,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,4.634161928735631,False,False,False,False,cable,408,415,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
11,ATPL_00050,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,20.386089482818495,False,False,False,False,cable,409,421,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
12,ATPL_00051,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,6.996658681955961,False,False,False,False,cable,409,441,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
13,ATPL_00052,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,8.10495199392929,False,False,False,False,cable,409,455,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
14,ATPL_00053,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,3.8607849454622394,False,False,False,False,cable,411,409,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
16,ATPL_00063,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,47.36335844161489,False,False,False,False,overhead,478,480,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
17,ATPL_00064,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,39.04855231584986,False,False,False,False,overhead,480,474,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
20,ATPL_00075,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,131.38681682545962,True,True,False,True,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15
22,ATPL_00089,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,5.841277895867997,False,False,False,False,cable,407,427,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
23,ATPL_00090,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,7.826276874430925,False,False,False,False,cable,445,409,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
25,ATPL_00120,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,8.510411059801466,False,False,False,False,cable,410,433,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
26,ATPL_00121,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,16.37439883531806,False,False,False,False,cable,407,433,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
27,ATPL_00139,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,18.592114549520897,False,False,False,False,cable,419,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
28,ATPL_00140,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,4.638502672191361,False,False,False,False,cable,415,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
29,ATPL_00141,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,26.18923077367378,False,False,False,False,cable,407,421,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
30,ATPL_00142,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,17.76163859709214,False,False,False,False,cable,431,407,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
31,ATPL_00143,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,3.1611367393259475,False,False,False,False,cable,439,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
32,ATPL_00147,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,141.8930495549611,True,True,False,True,mixed,542,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,1
36,ATPL_00207,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,3.160961159522613,False,False,False,False,cable,439,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
42,ATPL_00229,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,30.70801165845809,False,False,False,False,cable,429,407,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
43,ATPL_00241,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,4.613710970788792,False,False,False,False,cable,425,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
44,ATPL_00242,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,4.614262800871895,False,False,False,False,cable,408,425,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
45,ATPL_00243,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,7.803626238608574,False,False,False,False,cable,435,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
46,ATPL_00244,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,64.8251420352436,False,False,False,False,mixed,458,478,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,2
49,ATPL_00256,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,6.882179064409259,False,False,False,False,cable,443,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
50,ATPL_00257,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,2.1437381752808555,False,False,False,False,cable,407,449,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
52,ATPL_00273,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,29.02020258070329,False,False,False,False,cable,407,419,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
53,ATPL_00274,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,8.55487771089635,False,False,False,False,cable,408,431,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
54,ATPL_00275,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,8.51041105979761,False,False,False,False,cable,437,410,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
57,ATPL_00304,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,148.31161346085875,True,True,True,True,mixed,458,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,4
58,ATPL_00314,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,0.791845190564871,False,False,False,False,cable,437,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
59,ATPL_00334,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,3.3483183090686075,False,False,False,False,cable,417,407,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
60,ATPL_00340,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,11.806248273343495,False,False,False,False,cable,441,408,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
63,ATPL_00343,S21_NO_EXTGRID_GEN_ONLY_DCOPF,load_scale_0.3,0.3,17.439892147229287,False,False,False,False,overhead,476,474,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
46,ATPL_00244,S22_MIXED_CORRIDOR_TARGETED_REMEDIATION,load_scale_0.1,0.1,45.91166453161612,False,False,True,False,mixed,458,478,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,2
57,ATPL_00304,S22_MIXED_CORRIDOR_TARGETED_REMEDIATION,load_scale_0.2,0.2,94.4757892256272,True,False,True,False,mixed,458,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,4
57,ATPL_00304,S22_MIXED_CORRIDOR_TARGETED_REMEDIATION,load_scale_0.3,0.3,148.31161346085943,True,True,True,True,mixed,458,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,4
5,ATPL_00013,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_2x,,23.375952390419037,False,False,False,False,cable,408,429,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
16,ATPL_00063,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_2x,,47.36335844945215,False,False,False,False,overhead,478,480,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
17,ATPL_00064,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_2x,,39.04855232154642,False,False,False,False,overhead,480,474,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
20,ATPL_00075,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_2x,,131.3868167859274,True,True,True,True,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15
29,ATPL_00141,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_2x,,26.189230765914225,False,False,False,False,cable,407,421,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
32,ATPL_00147,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_2x,,70.94652475639211,False,False,False,False,mixed,542,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,1
42,ATPL_00229,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_2x,,30.708011649441712,False,False,False,False,cable,429,407,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
46,ATPL_00244,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_2x,,64.82514204844439,False,False,False,False,mixed,458,478,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,2
52,ATPL_00273,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_2x,,29.02020257306656,False,False,False,False,cable,407,419,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
57,ATPL_00304,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_2x,,74.15580670876552,False,False,False,False,mixed,458,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,4
5,ATPL_00013,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_4x,,23.37595239041904,False,False,False,False,cable,408,429,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
16,ATPL_00063,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_4x,,47.36335844945213,False,False,False,False,overhead,478,480,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
17,ATPL_00064,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_4x,,39.04855232154643,False,False,False,False,overhead,480,474,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
20,ATPL_00075,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_4x,,131.3868167859275,True,True,True,True,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15
29,ATPL_00141,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_4x,,26.189230765914235,False,False,False,False,cable,407,421,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
32,ATPL_00147,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_4x,,35.47326237819605,False,False,False,False,mixed,542,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,1
42,ATPL_00229,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_4x,,30.708011649441723,False,False,False,False,cable,429,407,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
46,ATPL_00244,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_4x,,64.82514204844439,False,False,False,False,mixed,458,478,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,2
52,ATPL_00273,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_4x,,29.02020257306657,False,False,False,False,cable,407,419,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
57,ATPL_00304,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_4x,,74.15580670876555,False,False,False,False,mixed,458,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,4
5,ATPL_00013,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_6x,,23.37595239041904,False,False,False,False,cable,408,429,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
16,ATPL_00063,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_6x,,47.36335844945214,False,False,False,False,overhead,478,480,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
17,ATPL_00064,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_6x,,39.04855232154644,False,False,False,False,overhead,480,474,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
20,ATPL_00075,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_6x,,131.3868167859274,True,True,True,True,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15
29,ATPL_00141,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_6x,,26.189230765914225,False,False,False,False,cable,407,421,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
32,ATPL_00147,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_6x,,23.648841585464048,False,False,False,False,mixed,542,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,1
42,ATPL_00229,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_6x,,30.708011649441723,False,False,False,False,cable,429,407,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
46,ATPL_00244,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_6x,,64.82514204844443,False,False,False,False,mixed,458,478,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,2
52,ATPL_00273,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_6x,,29.02020257306657,False,False,False,False,cable,407,419,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
57,ATPL_00304,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,parallel_equivalent_6x,,74.15580670876552,False,False,False,False,mixed,458,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,4
5,ATPL_00013,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,s29_foundation_only,,23.375952390419044,False,False,False,False,cable,408,429,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
16,ATPL_00063,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,s29_foundation_only,,47.36335844945215,False,False,False,False,overhead,478,480,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
17,ATPL_00064,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,s29_foundation_only,,39.04855232154643,False,False,False,False,overhead,480,474,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
20,ATPL_00075,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,s29_foundation_only,,131.38681678592744,True,True,False,True,mixed,407,542,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15
29,ATPL_00141,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,s29_foundation_only,,26.18923076591425,False,False,False,False,cable,407,421,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
32,ATPL_00147,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,s29_foundation_only,,141.89304951278413,True,True,True,True,mixed,542,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,1
42,ATPL_00229,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,s29_foundation_only,,30.70801164944171,False,False,False,False,cable,429,407,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
46,ATPL_00244,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,s29_foundation_only,,64.82514204844443,False,False,False,False,mixed,458,478,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,2
52,ATPL_00273,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,s29_foundation_only,,29.02020257306657,False,False,False,False,cable,407,419,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,0
57,ATPL_00304,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,s29_foundation_only,,74.15580670876552,False,False,False,False,mixed,458,544,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,4
