adapter_view,adapter_entity_type,edge_id,edge_type,source_node_id,target_node_id,line_id,line_name,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,asset_type,in_service,source_scenario_id,parameterization_basis,line_id_policy,policy_class,manual_review_status,overhead_share,cable_share,bridge_role,repeated_bottleneck,preferred_next_scenario,publication_allowed,notes,from_bus_degree,to_bus_degree,from_bus_voltage_kv,to_bus_voltage_kv,max_target_loading_percent,top_congested_appearance_count,bottleneck_persistence_count,r_over_x,is_mixed_corridor,is_policy_weighted_mixed,is_parallel_equivalent_required,endpoint_voltage_pair,prov_publication_allowed,prov_diagnostic_only,prov_source_scenario_id,prov_trace_source_ids,prov_assumption_ids,stage4_benchmark_eligible,stage4_exclusion_reason,governance_sensitive_flag,leakage_group_id,source_release_id
homogeneous_bus_line_graph,line_edge,4,line,453,409,4,ATPL_00012,453,409,5.034394,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,1,6,60.0,60.0,7.590734350950494,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|4,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,5,line,408,429,5,ATPL_00013,408,429,5.095219,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,13,2,60.0,60.0,23.375952396812288,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|5,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,10,line,408,415,10,ATPL_00049,408,415,4.701824,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,13,2,60.0,60.0,4.634161928735631,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|10,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,11,line,409,421,11,ATPL_00050,409,421,0.830148,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,6,2,60.0,60.0,20.386089482818495,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|11,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,12,line,409,441,12,ATPL_00051,409,441,8.639061,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,6,2,60.0,60.0,6.996658681955961,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|12,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,13,line,409,455,13,ATPL_00052,409,455,5.814358,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,6,1,60.0,60.0,8.10495199392929,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|13,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,14,line,411,409,14,ATPL_00053,411,409,11.657019,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,1,6,60.0,60.0,3.8607849454622394,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|14,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,16,line,478,480,16,ATPL_00063,478,480,10.484469,0.0949,0.38,9.2,0.74,overhead,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,2,2,60.0,60.0,50.73786672810664,0,0,0.2497368421052631,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|16,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,17,line,480,474,17,ATPL_00064,480,474,10.333461,0.0949,0.38,9.2,0.74,overhead,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,2,2,60.0,60.0,41.6888245031508,0,0,0.2497368421052631,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|17,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,20,line,407,542,20,ATPL_00075,407,542,3.765178,0.0709,0.2425,158.6,0.599,mixed,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,ATPL_00075,MIXED_WEIGHTED_ALLOWED,MANUAL_REVIEW_DONE,0.742,0.258,BACKBONE_BRIDGE,True,S17_REPARAMETERIZE_ATPL_00075_DIAGNOSTIC,False,Real corridor and structural bridge; weighted proxy is retained for benchmark candidate v1 as a residual bottleneck with explicit diagnostic-only status,9,2,60.0,60.0,140.57948933614912,15,15,0.2923711340206186,True,True,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,True,line|20,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,22,line,407,427,22,ATPL_00089,407,427,6.666346,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,9,1,60.0,60.0,5.841277895867997,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|22,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,23,line,445,409,23,ATPL_00090,445,409,6.280318,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,1,6,60.0,60.0,7.826276874430925,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|23,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,25,line,410,433,25,ATPL_00120,410,433,0.309408,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,2,2,60.0,60.0,8.510411059801466,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|25,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,26,line,407,433,26,ATPL_00121,407,433,7.376699,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,9,2,60.0,60.0,16.37439883531806,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|26,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,27,line,419,408,27,ATPL_00139,419,408,1.731383,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,2,13,60.0,60.0,18.592114549520897,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|27,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,28,line,415,408,28,ATPL_00140,415,408,4.697424,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,2,13,60.0,60.0,4.638502672191361,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|28,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,29,line,407,421,29,ATPL_00141,407,421,9.269951,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,9,2,60.0,60.0,26.18923077367378,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|29,pt_grid_benchmark_stage3_graph_v1
