facility_node_set,facility_buffer_m,endpoint_snap_threshold_m,merge_mode,raw_line_features,merged_circuits,reduction_percentage,inter_facility_circuits,self_loops,single_facility,isolated,tap_multi_terminal,ambiguous,loop,clean_branch_count,graph_nodes,graph_edges,connected_components,largest_component_size,isolated_nodes,mixed_voltage_circuits,mixed_status_circuits,suspicious_matches,strategy_score,recommended_yes_no,reason
B,100,50.0,geometry-only,5334,79,98.5189,1,0,2,55,3,4,14,1,2,1,1,2,0,1,3,1,-430,no,moderate facility buffer
B,100,50.0,voltage-aware,5334,80,98.5002,1,0,2,55,3,5,14,1,2,1,1,2,0,0,4,1,-390,no,no mixed-voltage circuits; moderate facility buffer
B,100,50.0,voltage-status-aware,5334,151,97.1691,3,3,20,84,7,1,33,3,6,3,3,2,0,0,0,1,50,no,no mixed-voltage circuits; moderate facility buffer
B,250,0.5,geometry-only,5334,1340,74.8781,363,117,474,196,102,83,5,363,376,363,59,27,0,0,1,82,29390,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,0.5,voltage-aware,5334,1340,74.8781,363,117,474,196,102,83,5,363,376,363,59,27,0,0,1,82,29390,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,0.5,voltage-status-aware,5334,1341,74.8594,363,117,474,198,102,82,5,363,376,363,59,27,0,0,0,82,29450,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,1.0,geometry-only,5334,1234,76.8654,305,112,441,188,116,64,8,305,338,305,61,27,0,0,9,57,25710,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,1.0,voltage-aware,5334,1234,76.8654,305,112,441,188,116,64,8,305,338,305,61,27,0,0,9,57,25710,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,1.0,voltage-status-aware,5334,1247,76.6217,307,113,448,191,119,61,8,307,338,307,60,27,0,0,0,61,25950,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,5.0,geometry-only,5334,877,83.5583,155,58,292,126,143,75,28,155,218,155,68,8,0,0,40,39,9800,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,5.0,voltage-aware,5334,877,83.5583,155,58,292,126,143,75,28,155,218,155,68,8,0,0,40,39,9800,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,5.0,voltage-status-aware,5334,942,82.3397,164,68,318,154,165,41,32,164,228,164,71,8,0,0,0,41,12700,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,10.0,geometry-only,5334,440,91.751,57,25,112,94,64,51,37,57,100,57,43,7,0,0,37,20,2130,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,10.0,voltage-aware,5334,440,91.751,57,25,112,94,64,51,37,57,100,57,43,7,0,0,37,20,2130,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,10.0,voltage-status-aware,5334,515,90.345,64,36,135,127,88,22,43,64,110,64,46,7,0,0,0,22,4550,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,25.0,geometry-only,5334,126,97.6378,6,2,13,60,13,8,24,6,12,6,6,2,0,0,7,2,130,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,25.0,voltage-aware,5334,126,97.6378,6,2,13,60,13,8,24,6,12,6,6,2,0,0,7,2,130,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,25.0,voltage-status-aware,5334,200,96.2505,9,11,34,87,19,3,37,9,18,9,9,2,0,0,0,3,700,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,50.0,geometry-only,5334,79,98.5189,1,0,6,51,3,4,14,1,2,1,1,2,0,1,3,2,-480,no,moderate facility buffer
B,250,50.0,voltage-aware,5334,80,98.5002,1,0,6,51,3,5,14,1,2,1,1,2,0,0,4,2,-440,no,no mixed-voltage circuits; moderate facility buffer
B,250,50.0,voltage-status-aware,5334,151,97.1691,3,5,26,76,6,2,33,3,6,3,3,2,0,0,0,2,-50,no,no mixed-voltage circuits; moderate facility buffer
B,500,0.5,geometry-only,5334,1340,74.8781,368,150,439,186,102,90,5,368,378,368,58,27,0,0,1,89,28690,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,0.5,voltage-aware,5334,1340,74.8781,368,150,439,186,102,90,5,368,378,368,58,27,0,0,1,89,28690,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,0.5,voltage-status-aware,5334,1341,74.8594,368,150,439,188,102,89,5,368,378,368,58,27,0,0,0,89,28750,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,1.0,geometry-only,5334,1234,76.8654,312,143,410,177,114,70,8,312,341,312,60,27,0,0,9,63,25310,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,1.0,voltage-aware,5334,1234,76.8654,312,143,410,177,114,70,8,312,341,312,60,27,0,0,9,63,25310,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,1.0,voltage-status-aware,5334,1247,76.6217,314,145,416,180,117,67,8,314,341,314,59,27,0,0,0,67,25550,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,5.0,geometry-only,5334,877,83.5583,162,72,275,120,141,79,28,162,224,162,68,8,0,0,40,44,9550,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,5.0,voltage-aware,5334,877,83.5583,162,72,275,120,141,79,28,162,224,162,68,8,0,0,40,44,9550,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,5.0,voltage-status-aware,5334,942,82.3397,171,85,300,146,161,47,32,171,233,171,71,8,0,0,0,47,12300,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,10.0,geometry-only,5334,440,91.751,59,32,106,90,64,52,37,59,104,59,45,7,0,0,37,21,1730,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,10.0,voltage-aware,5334,440,91.751,59,32,106,90,64,52,37,59,104,59,45,7,0,0,37,21,1730,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,10.0,voltage-status-aware,5334,515,90.345,66,47,128,120,88,23,43,66,113,66,47,7,0,0,0,23,4150,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,25.0,geometry-only,5334,126,97.6378,6,4,13,58,13,8,24,6,12,6,6,2,0,0,7,2,-370,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,25.0,voltage-aware,5334,126,97.6378,6,4,13,58,13,8,24,6,12,6,6,2,0,0,7,2,-370,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,25.0,voltage-status-aware,5334,200,96.2505,9,17,34,81,19,3,37,9,18,9,9,2,0,0,0,3,200,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,50.0,geometry-only,5334,79,98.5189,1,1,7,49,3,4,14,1,2,1,1,2,0,1,3,2,-980,no,higher ambiguity or weak graph structure
B,500,50.0,voltage-aware,5334,80,98.5002,1,1,7,49,3,5,14,1,2,1,1,2,0,0,4,2,-940,no,no mixed-voltage circuits
B,500,50.0,voltage-status-aware,5334,151,97.1691,3,10,27,70,5,3,33,3,6,3,3,2,0,0,0,3,-650,no,no mixed-voltage circuits
C,50,0.5,geometry-only,5334,1340,74.8781,290,82,529,267,105,62,5,290,331,290,69,19,0,0,1,61,23790,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,0.5,voltage-aware,5334,1340,74.8781,290,82,529,267,105,62,5,290,331,290,69,19,0,0,1,61,23790,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,0.5,voltage-status-aware,5334,1341,74.8594,290,82,529,269,105,61,5,290,331,290,69,19,0,0,0,61,23850,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,1.0,geometry-only,5334,1234,76.8654,239,77,489,257,120,44,8,239,286,239,66,17,0,0,9,37,20610,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,1.0,voltage-aware,5334,1234,76.8654,239,77,489,257,120,44,8,239,286,239,66,17,0,0,9,37,20610,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,1.0,voltage-status-aware,5334,1247,76.6217,241,77,495,260,123,43,8,241,287,241,66,17,0,0,0,43,20650,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,5.0,geometry-only,5334,877,83.5583,129,44,301,168,144,63,28,129,189,129,63,7,0,0,40,24,8500,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,5.0,voltage-aware,5334,877,83.5583,129,44,301,168,144,63,28,129,189,129,63,7,0,0,40,24,8500,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,5.0,voltage-status-aware,5334,942,82.3397,137,47,323,208,168,27,32,137,196,137,65,9,0,0,0,27,11450,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,10.0,geometry-only,5334,440,91.751,45,17,120,110,66,45,37,45,78,45,33,7,0,0,37,10,1730,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,10.0,voltage-aware,5334,440,91.751,45,17,120,110,66,45,37,45,78,45,33,7,0,0,37,10,1730,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,10.0,voltage-status-aware,5334,515,90.345,51,20,139,155,94,13,43,51,88,51,37,7,0,0,0,13,4150,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,25.0,geometry-only,5334,126,97.6378,3,1,10,67,13,8,24,3,6,3,3,2,0,0,7,2,-170,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,25.0,voltage-aware,5334,126,97.6378,3,1,10,67,13,8,24,3,6,3,3,2,0,0,7,2,-170,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,25.0,voltage-status-aware,5334,200,96.2505,5,2,30,103,20,3,37,5,10,5,5,2,0,0,0,3,300,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,50,50.0,geometry-only,5334,79,98.5189,1,0,1,56,3,4,14,1,2,1,1,2,0,1,3,1,-430,no,moderate facility buffer
C,50,50.0,voltage-aware,5334,80,98.5002,1,0,1,56,3,5,14,1,2,1,1,2,0,0,4,1,-390,no,no mixed-voltage circuits; moderate facility buffer
C,50,50.0,voltage-status-aware,5334,151,97.1691,3,1,17,88,7,2,33,3,6,3,3,2,0,0,0,2,-50,no,no mixed-voltage circuits; moderate facility buffer
C,100,0.5,geometry-only,5334,1340,74.8781,347,97,487,214,104,86,5,347,367,347,63,53,0,0,1,85,28790,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,0.5,voltage-aware,5334,1340,74.8781,347,97,487,214,104,86,5,347,367,347,63,53,0,0,1,85,28790,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,0.5,voltage-status-aware,5334,1341,74.8594,347,97,487,216,104,85,5,347,367,347,63,53,0,0,0,85,28850,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,1.0,geometry-only,5334,1234,76.8654,287,93,455,206,118,67,8,287,326,287,63,37,0,0,9,60,24110,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,1.0,voltage-aware,5334,1234,76.8654,287,93,455,206,118,67,8,287,326,287,63,37,0,0,9,60,24110,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,1.0,voltage-status-aware,5334,1247,76.6217,289,93,461,209,121,66,8,289,327,289,63,37,0,0,0,66,24150,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,5.0,geometry-only,5334,877,83.5583,147,54,293,135,142,78,28,147,210,147,66,8,0,0,40,39,8850,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,5.0,voltage-aware,5334,877,83.5583,147,54,293,135,142,78,28,147,210,147,66,8,0,0,40,39,8850,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,5.0,voltage-status-aware,5334,942,82.3397,157,58,317,170,166,42,32,157,220,157,69,11,0,0,0,42,12050,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,10.0,geometry-only,5334,440,91.751,54,25,106,101,64,53,37,54,94,54,40,7,0,0,37,20,1730,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,10.0,voltage-aware,5334,440,91.751,54,25,106,101,64,53,37,54,94,54,40,7,0,0,37,20,1730,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,10.0,voltage-status-aware,5334,515,90.345,61,31,127,140,90,23,43,61,105,61,44,7,0,0,0,23,4150,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,25.0,geometry-only,5334,126,97.6378,6,1,9,65,13,8,24,6,12,6,6,2,0,0,7,2,130,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,25.0,voltage-aware,5334,126,97.6378,6,1,9,65,13,8,24,6,12,6,6,2,0,0,7,2,130,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,25.0,voltage-status-aware,5334,200,96.2505,9,6,29,96,20,3,37,9,18,9,9,2,0,0,0,3,700,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,100,50.0,geometry-only,5334,79,98.5189,1,0,2,55,3,4,14,1,2,1,1,2,0,1,3,2,-480,no,moderate facility buffer
C,100,50.0,voltage-aware,5334,80,98.5002,1,0,2,55,3,5,14,1,2,1,1,2,0,0,4,2,-440,no,no mixed-voltage circuits; moderate facility buffer
C,100,50.0,voltage-status-aware,5334,151,97.1691,3,3,19,84,6,3,33,3,6,3,3,2,0,0,0,3,-150,no,no mixed-voltage circuits; moderate facility buffer
C,250,0.5,geometry-only,5334,1340,74.8781,353,113,466,196,102,105,5,353,369,353,61,27,0,0,1,104,26190,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,0.5,voltage-aware,5334,1340,74.8781,353,113,466,196,102,105,5,353,369,353,61,27,0,0,1,104,26190,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,0.5,voltage-status-aware,5334,1341,74.8594,353,113,466,198,102,104,5,353,369,353,61,27,0,0,0,104,26250,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,1.0,geometry-only,5334,1234,76.8654,295,108,435,188,116,84,8,295,331,295,63,27,0,0,9,77,22710,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,1.0,voltage-aware,5334,1234,76.8654,295,108,435,188,116,84,8,295,331,295,63,27,0,0,9,77,22710,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,1.0,voltage-status-aware,5334,1247,76.6217,297,109,440,191,119,83,8,297,331,297,62,27,0,0,0,83,22750,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,5.0,geometry-only,5334,877,83.5583,148,58,287,126,141,89,28,148,211,148,67,8,0,0,40,53,7700,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,5.0,voltage-aware,5334,877,83.5583,148,58,287,126,141,89,28,148,211,148,67,8,0,0,40,53,7700,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,5.0,voltage-status-aware,5334,942,82.3397,157,68,312,154,163,56,32,157,221,157,70,8,0,0,0,56,10500,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,10.0,geometry-only,5334,440,91.751,55,25,109,94,64,56,37,55,96,55,41,7,0,0,37,25,1430,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,10.0,voltage-aware,5334,440,91.751,55,25,109,94,64,56,37,55,96,55,41,7,0,0,37,25,1430,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,10.0,voltage-status-aware,5334,515,90.345,62,36,131,127,88,28,43,62,106,62,44,7,0,0,0,28,3750,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,25.0,geometry-only,5334,126,97.6378,6,2,12,60,13,9,24,6,12,6,6,2,0,0,7,3,30,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,25.0,voltage-aware,5334,126,97.6378,6,2,12,60,13,9,24,6,12,6,6,2,0,0,7,3,30,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,25.0,voltage-status-aware,5334,200,96.2505,9,11,32,87,19,5,37,9,18,9,9,2,0,0,0,5,500,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
C,250,50.0,geometry-only,5334,79,98.5189,1,0,5,51,3,5,14,1,2,1,1,2,0,1,3,3,-580,no,moderate facility buffer
C,250,50.0,voltage-aware,5334,80,98.5002,1,0,5,51,3,6,14,1,2,1,1,2,0,0,4,3,-540,no,no mixed-voltage circuits; moderate facility buffer
C,250,50.0,voltage-status-aware,5334,151,97.1691,3,5,24,76,5,5,33,3,6,3,3,2,0,0,0,5,-350,no,no mixed-voltage circuits; moderate facility buffer
C,500,0.5,geometry-only,5334,1340,74.8781,343,146,429,186,101,130,5,343,363,343,60,27,0,0,1,129,22190,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,0.5,voltage-aware,5334,1340,74.8781,343,146,429,186,101,130,5,343,363,343,60,27,0,0,1,129,22190,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,0.5,voltage-status-aware,5334,1341,74.8594,343,146,429,188,101,129,5,343,363,343,60,27,0,0,0,129,22250,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,1.0,geometry-only,5334,1234,76.8654,293,139,402,177,113,102,8,293,327,293,61,27,0,0,9,96,20160,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,1.0,voltage-aware,5334,1234,76.8654,293,139,402,177,113,102,8,293,327,293,61,27,0,0,9,96,20160,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,1.0,voltage-status-aware,5334,1247,76.6217,293,141,406,180,115,104,8,293,327,293,61,27,0,0,0,104,19750,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,5.0,geometry-only,5334,877,83.5583,150,72,269,120,137,101,28,150,213,150,67,8,0,0,40,67,6100,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,5.0,voltage-aware,5334,877,83.5583,150,72,269,120,137,101,28,150,213,150,67,8,0,0,40,67,6100,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,5.0,voltage-status-aware,5334,942,82.3397,157,85,293,146,156,73,32,157,221,157,70,8,0,0,0,73,8300,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,10.0,geometry-only,5334,440,91.751,56,32,103,90,64,58,37,56,98,56,42,7,0,0,37,28,780,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,10.0,voltage-aware,5334,440,91.751,56,32,103,90,64,58,37,56,98,56,42,7,0,0,37,28,780,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,10.0,voltage-status-aware,5334,515,90.345,62,47,124,120,86,33,43,62,106,62,44,7,0,0,0,33,2750,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,25.0,geometry-only,5334,126,97.6378,6,4,12,58,13,9,24,6,12,6,6,2,0,0,7,3,-470,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,25.0,voltage-aware,5334,126,97.6378,6,4,12,58,13,9,24,6,12,6,6,2,0,0,7,3,-470,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,25.0,voltage-status-aware,5334,200,96.2505,8,17,32,81,18,7,37,8,16,8,8,2,0,0,0,7,-300,no,no mixed-voltage circuits; conservative endpoint snapping
C,500,50.0,geometry-only,5334,79,98.5189,1,1,6,49,3,5,14,1,2,1,1,2,0,1,3,3,-1080,no,higher ambiguity or weak graph structure
C,500,50.0,voltage-aware,5334,80,98.5002,1,1,6,49,3,6,14,1,2,1,1,2,0,0,4,3,-1040,no,no mixed-voltage circuits
C,500,50.0,voltage-status-aware,5334,151,97.1691,2,10,25,70,5,6,33,2,4,2,2,2,0,0,0,6,-1050,no,no mixed-voltage circuits
